"code","prefecture","municipality","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A1419","A141901","A141902","A1700","A4101","A4200","A5101","A5102","A7101","A710101","A710201","A810102","A810105","A811102","A8201","A8301","A9101","A9201","B1101","B1103","C2107","C210703","C210708","C210709","C210710","C210711","C210712","C210713","C210716","C210717","C210718","C210719","C210720","C210721","C210722","C210723","C210724","C210725","C2110","C2111","C2112","C2207","C220703","C220708","C220709","C220710","C220711","C220712","C220713","C220716","C220717","C220718","C220719","C220720","C220721","C220722","C220723","C220724","C220725","C2210","C2211","C2212","C310201","C310202","D2203","D2211","D3201","D320101","D3203","D320303","D320308","D320310","D320311","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","F1102","F110201","F110202","F1107","F110701","F110702","F1108","F110801","F110802","F2201","F2211","F2221","G1201","G1401","H5507","H550701","H6130","H6131","H6132","I510120","I5102","I5103","I6100","I6200","I6300","J2503","J2506"
"year","年度","年度","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2018","2018","2018","2018","2015","2015","2015","2015","2015","2015","2015","2015","2018","2018","2018","2018","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2017","2017","2017","2017","2017","2017","2017","2017","2017","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2017","2017","2016","2016","2016","2017","2017","2017","2016","2016","2016","2017","2017"
"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"欠損値","北海道","札幌市","欠損値","910614","1041742","1937785","903535","1034250","unknown","112743","108270","1235516","590111","unknown","483534","201313","282221","225299","欠損値","141246","unknown","13248","19343","117434","109504","921837","","1899980","493644","375242","178246","98660","104650","9878","4024","112126","unknown","76604","103","6701","2611","68","1459","1697","unknown","1420","8822","","10168","6427","","欠損値","303","4746","294","105","9321","unknown","912841","1331","61706","38170","4390","31952","47454","195399","24911","unknown","30961","87304","42136","46826","","7785","99791","29737","1345","99922","811574","461","346","93.6","2.8","980747975","292399779","966533376","404761083","128952110","162101641","","unknown","19598","205","4967","90450","107","2975","44899","52","44345","844313","460571","383742","48619","欠損値","19505","","215570","435482","unknown","118503","645868","欠損値","11","1951640","6549","11197","8502","355","178","1351","1229","6614","2113","5398","287","26613"
"R01202","北海道","函館市","欠損値","120376","","264537","unknown","unknown","27131","13912","13219","152154","72223","79931","85931","33839","52092","42686","14949","27737","771","1418","3761","8249","9590","","123651","255149","66690","48247","unknown","16258","unknown","1065","507","67787","12334","13795","24","1224","612","","100","275","3590","278","976","440","2216","unknown","494","1035","104","932","86","44","1839","11912","124215","201","8728","9798","625","1270","6897","24804","3124","3174","","13084","6446","5599","欠損値","1362","","欠損値","493","18551","105171","212","157","91.3","7.9","141331406","32208730","140296035","60809188","13540612","14812227","0","19","1898","48","782","10657","unknown","469","5917","15","6969","117125","62636","54489","6551","4054","2497","","34217","69336","4137","19490","86480","3","1","unknown","28650","欠損値","1749","欠損値","28","210","129","欠損値","183","680","49","3524"
"R01203","北海道","小樽市","121924","54985","66939","121415","54722","66693","11171","5661","5510","65317","31183","34134","","18020","27220","22804","","unknown","411","480","1901","2894","3936","55466","55299","116724","31709","欠損値","15984","8950","10585","322","unknown","欠損値","8009","6090","2","422","461","欠損値","26","217","1786","99","208","143","939","557","202","535","38","390","45","9","884","5197","56650","8","2658","8275","267","121","3321","12988","918","欠損値","989","5301","2381","3161","9878","548","3101","1818","119","10937","45594","95","66","99.5","7.9","57326414","13397731","57105770","25226933","6896707","4108367","0","欠損値","921","18","340","4351","13","234","2405","8","3299","51317","27330","23987","3080","1984","1096","53928","18733","35195","710","unknown","39508","unknown","1","117924","欠損値","1289","","17","12","83","78","322","102","326","22","unknown"
"unknown","北海道","旭川市","339605","156402","183203","335678","欠損値","欠損値","unknown","18938","18235","191423","90649","100774","106444","44410","62034","51691","19833","31858","613","2120","4377","9960","10630","155747","155218","326243","88393","57488","38167","23059","","1412","666","74766","35194","15201","76","unknown","779","13","110","367","3795","331","1233","","2100","1439","465","1458","unknown","922","80","76","2219","12906","154350","799","11639","10800","","1157","8183","33338","3671","3566","3448","12815","6542","8340","27297","1879","13044","7088","799","22461","131090","1133","298","95.4","7.8","159077308","40022339","157702125","74255894","19847021","12292433","175606","29","2677","55","1208","15319","28","649","8268","13","8992","152385","82441","69944","7697","","3104","128509","43521","84988","4069","26028","","","5","340523","6570","2612","1743","65","欠損値","240","175","1339","254","867","67","unknown"
"R01205","北海道","室蘭市","欠損値","43143","45421","88203","42935","45268","9185","4647","4538","49005","25831","23174","30118","12457","17661","","5688","9162","297","476","1271","2970","","43616","43536","86029","","18486","10954","欠損値","7295","377","113","8088","4327","4423","1","453","230","9","36","122","1039","","欠損値","147","748","379","122","308","25","384","41","1","683","3739","unknown","24","4524","8016","324","欠損値","2600","7498","983","876","1621","3430","1553","2421","","409","","1469","24","12540","34851","16","7","93.8","9.6","欠損値","13267323","欠損値","17490787","6855621","欠損値","18855","10","1015","13","268","3437","欠損値","157","1915","6","2891","37286","22145","15141","1957","1273","684","37414","13467","23947","351","9384","26169","0","1","","欠損値","748","621","11","欠損値","55","欠損値","272","63","196","10","unknown"
"R01206","北海道","釧路市","","82185","92557","174120","81942","92178","19400","9829","9571","101909","欠損値","52021","52867","欠損値","30706","25645","9939","unknown","440","1018","2313","5706","6583","82078","81846","169155","45098","31697","19105","11305","11926","733","欠損値","136290","30910","8871","33","","364","17","欠損値","293","2051","197","839","300","1449","813","281","unknown","47","616","79","53","1096","7722","80833","280","5596","6077","528","456","5873","15700","2324","1993","1978","8105","3376","3693","","546","6950","3387","622","12102","unknown","unknown","欠損値","","10.9","94965331","20939951","94772700","38341655","11474968","9341933","","26","2094","27","614","","17","357","4120","欠損値","4418","欠損値","unknown","33208","3548","2152","1396","欠損値","23208","42953","1679","欠損値","unknown","1","2","172784","11503","","1151","29","15","欠損値","91","欠損値","107","347","26","1701"
"R01207","北海道","帯広市","169327","80994","88333","168800","80736","88064","20566","","9977","103890","51271","52619","44636","18963","","21755","8637","13118","524","1158","1826","7164","7336","77707","77525","163589","unknown","29720","16117","9615","8907","877","","61934","38281","欠損値","欠損値","922","354","11","75","193","2252","208","unknown","358","1531","unknown","320","722","欠損値","652","51","72","","7730","87443","958","7264","5753","342","639","4383","19517","2446","1758","2652","8834","3877","3558","13632","421","6692","4689","963","13040","73440","653","32","92.3","8.7","","22223735","85000314","32305719","9203426","6739468","1199218","13","1974","26","605","8100","14","338","3982","8","unknown","79840","44102","35738","3137","1793","1344","","19135","36583","3923","14264","56126","0","1","","4574","1567","1378","32","18","103","97","493","138","395","31","2774"
"R01208","北海道","北見市","121226","58020","","120936","57884","63052","13570","6897","6673","70781","35523","35258","36437","15291","","18266","7115","欠損値","283","欠損値","1439","3850","unknown","56202","56043","117577","31420","21103","","8072","7328","498","243","142741","欠損値","5944","135","532","256","15","49","163","1515","117","371","189","842","511","181","496","unknown","437","63","153","795","4996","54546","919","4930","3770","305","831","3088","12325","1265","1209","1023","4832","2192","2705","8054","","4088","1854","1165","8803","44578","869","124","91.1","unknown","74186103","14507449","","22781969","12393145","","1088281","8","837","24","467","unknown","14","266","2764","欠損値","3100","55971","31001","","2303","1426","877","欠損値","14556","26993","3903","unknown","38336","欠損値","9","118776","4645","欠損値","663","欠損値","12","65","54","226","79","212","25","unknown"
