"Code","Prefecture","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A410101","A410102","A4103","A4200","A420001","A420002","A5101","A510101","A510102","A5102","A510201","A510202","A9101","A9201","B4101","B4102","B4103","B4106","B4109","C3301","C3302","C3801","C3802","C3803","C3804","C5401","C5403","E1101","E1301","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E3701","E3702","E4101","E4401","E4501","E4601","E4602","E6101","E6102","E6201","E6202","E6301","E6302","E6501","E650110","E6502","E650210","E7101","E7102","E7201","E7202","F3101","F3102","F3103","F3104","F3105","F3106","G5105","H1800","H1801","H1802","H1803","H2600","H2601","H2602","H2603","I510120","I5102","I5103","J2503","J2505","J250502","J2506","J2526","L3221","L322101","L322102","L322103","L322104","L322105","L322106","L322107","L322108","L322109","L322110"
"地域コード","都道府県","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","出生数","出生数（男）","出生数（女）","合計特殊出生率","死亡数","死亡数（男）","死亡数（女）","転入者数（日本人移動者）","転入者数（日本人移動者）（男）","転入者数（日本人移動者）（女）","転出者数（日本人移動者）","転出者数（日本人移動者）（男）","転出者数（日本人移動者）（女）","婚姻件数","離婚件数","年平均気温","最高気温（日最高気温の月平均の最高値）","最低気温（日最低気温の月平均の最低値）","降水日数（年間）","降水量（年間）","着工建築物数","着工建築物床面積","旅館営業施設数","旅館営業施設客室数","ホテル営業施設数","ホテル営業施設客室数","標準価格（平均価格）（住宅地）","標準価格（平均価格）（商業地）","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数（一般）","月間有効求職者数（一般）","月間有効求人数（一般）","充足数（一般）","就職件数（一般）","県内就職件数（一般）","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出（二人以上の世帯）","食料費（二人以上の世帯）","住居費（二人以上の世帯）","光熱・水道費（二人以上の世帯）","家具・家事用品費（二人以上の世帯）","被服及び履物費（二人以上の世帯）","保健医療費（二人以上の世帯）","交通・通信費（二人以上の世帯）","教育費（二人以上の世帯）","教養娯楽費（二人以上の世帯）","その他の消費支出（二人以上の世帯）"
"R01000","北海道","5524000","2612000","2911000","5506000","2605000","2901000","663000","338000","325000","3510000","1706000","1804000","1334000","555000","779000","40165","20649","19516","1.19","53221","28871","24350","51598","31589","20009","63776","38073","25703","28271","12294","9.4","25.3","-5.6","149","1147","19249","4440968","3456","116163","668","62966","20500","68300","560","5262","66181","1284","19786","278684","684","12587","149060","51359","50201","315","11629","145442","47246","19329","20","36","423","6392","6637","80917","3191","537","17495","2482","182","59","32689","4730","371450","1360753","432438","66661","68276","66377","99940","27616","10342","14466","2492","2524567","1373059","283872","841395","518","3378","3032","799","63166","682","62584","9252","288835","62866","18854","23040","8041","12801","13084","38017","11854","32113","68166"
"R02000","青森県","1383000","651000","732000","1380000","650000","730000","173000","88000","85000","862000","424000","439000","344000","136000","208000","9523","4873","4650","1.26","15387","8312","7075","20700","12472","8228","27299","15515","11784","6067","2768","10.6","26","-3.5","162","1459.5","5296","970441","940","22261","131","10796","22900","47000","133","821","9721","354","5489","76894","173","3412","42567","14722","14312","88","3390","42078","13760","5873","6","10","178","1224","1678","14779","703","24","3341","348","38","16","2282","812","105078","395497","84068","20323","22300","19646","16561","5016","2995","1756","224","545738","416558","23842","101803","88","936","570","461","31441","28","33465","5158","260264","65269","16660","26466","9082","9625","10777","33471","11278","21796","55839"
"R03000","岩手県","1340000","640000","700000","1335000","638000","697000","169000","86000","82000","813000","407000","405000","359000","145000","214000","9904","5090","4814","1.37","15410","8153","7257","18642","10758","7884","24185","13521","10664","5900","2429","10.6","27.1","-4.5","130","1274.5","5921","1014750","990","22098","162","10634","28800","60900","149","986","13123","412","5504","73284","195","3316","39391","13748","13508","87","3215","40097","13227","5295","5","5","112","1341","1323","11681","620","75","2425","439","36","8","5458","511","89139","368775","106775","27078","28863","26117","17011","4903","3086","1536","195","514941","407953","21230","79575","81","927","609","336","24987","95","26272","3839","287931","67219","14628","23591","8808","12095","13259","41182","8812","28980","69358"
"R04000","宮城県","2348000","1139000","1208000","2336000","1135000","1201000","314000","161000","153000","1506000","754000","752000","515000","217000","298000","18988","9769","9219","1.25","20808","11040","9768","49058","28320","20738","50985","29251","21734","12217","4522","12.9","26.5","-0.7","97","1303.5","9671","1833607","912","32118","262","19403","33400","217200","311","2433","32910","456","8231","129708","226","4900","66506","22732","22160","107","4747","64048","21094","10066","5","14","94","4460","1305","49627","571","15","10901","1729","64","24","18733","1574","130848","573630","186340","30452","30053","27894","45632","11199","4742","4592","1806","1056782","623709","184895","243390","119","1578","1046","324","26123","1131","27086","4460","288513","70060","18515","22469","10533","13941","13403","31549","11837","31353","64852"
"R05000","秋田県","1097000","515000","581000","1093000","514000","579000","123000","63000","60000","656000","326000","330000","317000","125000","191000","7013","3594","3419","1.29","13866","7319","6547","13670","7946","5724","18219","10070","8149","4364","1708","12","27.8","-1.5","172","1729","4812","824390","661","17156","84","7251","19200","39600","97","806","8713","258","3936","54090","134","2458","30610","10866","10631","63","2515","30213","9887","4535","5","6","98","952","1287","8226","624","56","1848","357","27","5","1752","168","73435","318260","78130","18494","19373","18010","14136","3857","2345","1157","306","417489","326985","31478","54849","62","824","461","242","21631","261","22313","3322","280723","65816","13482","23251","8842","10246","12200","45784","12138","26562","62401"
"R06000","山形県","1178000","565000","613000","1172000","564000","608000","147000","75000","72000","713000","359000","353000","319000","131000","188000","8715","4493","4222","1.39","13729","7031","6698","14512","8205","6307","18512","10223","8289","5258","1947","12.1","28.5","-2.9","135","1002","5542","997483","1015","22241","133","8353","23000","52100","115","1000","11927","337","4568","64207","128","2652","34809","12064","11898","68","2805","35197","11728","5375","3","4","107","1016","1628","11140","746","123","2458","633","22","6","1910","248","69010","306492","85582","19951","20616","19530","18655","4491","2916","1238","313","525515","426062","34338","63114","57","927","476","229","19637","220","20050","2831","301101","69464","17629","28905","9355","11187","13963","40765","15082","27834","66915"
"R07000","福島県","2041000","990000","1051000","2031000","987000","1044000","282000","144000","138000","1253000","636000","617000","504000","208000","296000","16326","8350","7976","1.49","21568","11518","10050","26430","15297","11133","34339","19035","15304","9764","3993","13.5","29","-0.9","92","1079.5","8989","1476637","1902","39508","256","15785","23200","53900","359","2417","30627","530","7922","119587","246","4822","63682","21930","21016","114","4761","62378","20524","9031","5","8","167","1170","2510","15411","1198","151","3222","317","54","12","5867","563","107230","484180","132626","26802","27697","25700","35820","9604","5220","3697","569","922311","678002","60582","177610","118","1476","911","313","26296","192","27088","4282","315521","72292","11324","25828","10384","12998","13577","42823","11734","29085","85475"
"R08000","茨城県","2970000","1479000","1490000","2929000","1460000","1469000","398000","204000","193000","1912000","982000","930000","650000","286000","364000","24209","12445","11764","1.37","27807","15011","12796","53268","30944","22324","51546","28916","22630","15286","5627","14.2","28.6","-0.7","107","1461","15768","2879531","1410","29928","287","14527","38400","66800","386","2886","41339","573","10338","169903","244","6224","87140","29973","28833","135","6019","81910","26384","13684","5","9","75","2919","1215","30500","656","24","7012","1675","66","19","7408","1184","118283","514572","165235","23403","25108","21458","80447","18166","9272","7167","1595","1705274","1190860","165388","342464","168","1694","1393","461","41498","396","43976","5946","319084","66995","15455","21648","10691","13865","15282","44882","13033","31905","85327"
"R09000","栃木県","2011000","999000","1012000","1983000","986000","997000","273000","140000","133000","1298000","670000","628000","435000","187000","248000","17004","8698","8306","1.43","18777","9992","8785","33830","19642","14188","36403","20758","15645","10687","3888","14.6","29.6","-1","98","1394","11384","2073401","1651","37794","162","10022","43000","87100","205","2588","32171","404","7005","113232","179","4283","57967","19816","19046","80","3962","56513","18616","10142","6","9","198","3238","2078","19952","1023","71","4407","490","61","33","7492","952","88309","421874","133353","21366","21515","19326","48782","13962","7126","5146","1493","1359254","930723","156822","258396","93","1419","984","333","28160","76","30384","4481","302678","69081","18778","22210","9605","13835","14631","39753","10734","35833","68219"
